Username,Likes,Comments,Timestamp,Caption,TP_scores,EH_scores,ratings match?,avg,Number incorrect,
latch.ie,78,6,2024-06-10T16:16:07.000Z,"This was an important finding from the recent paper I published in Breastfeeding Medicine*. 

It doesn't mean that triple feeding should never be recommended, or that mothers who have low milk supply should not triple feed. 

The finding that the combination of primary low milk supply and triple can negatively impact a mother's health suggests that mental health and maternal well being should be factored in when creating care plans for mothers who have low milk supply. 

If you need help with breastfeeding and low milk supply, seek support from an #IBCLC. 

#breastfeeding #lactation #triplefeeding #lowmilksupply #primarylowmilksupply 

*Whelan, Caoimhe, Denise O'Brien, and Abbey Hyde. ""Mother's Emotional Experiences of Breastfeeding with Primary Low Milk Supply in the First Four Months Postpartum: An Interpretative Phenomenological Analysis."" Breastfeeding Medicine 19, no. 3 (2024): 197-207.",1,1,correct,1,,
motherhoodmuscles,78,22,2022-05-29T00:30:43.000Z,"Survival Saturday 🥲 

Maybe they should remind you that even after you’ve had a child, there’s always something new to learn…. Things are always changing so why didn’t I assume this 🤷🏼‍♀️😅

I know having a big break between kiddos didn’t help my learning curve- but so much has changed. 🥴

Before, you couldn’t mix different temperatures of breastmilk.
Now, mix em up, sis!

Before, the epidural completely numbed your lower half.
Now, you have limited mobility and more feeling.

Before, it was taught to me that comfort nursing was okay.
Now, I’m told I shouldn’t because it doesn’t help her learn.😵‍💫

🤯🤯🤯🤯 WHAT? 😳😳😳😳

I am going with the flow and trying to keep up with all the things- but at the same time…. My most important thing is making sure she’s fed & healthy. 

What this consists of for us right now : “triple feeding”

When she’s hungry, I nurse her for 15-20 mins on each side. 
Then I feed her 45ml of my milk out of a syringe and tube. Sometimes this can take another 20 mins 😣 
After that, I hook up to electric pump and spend another 30 minutes to keep up with her supply needs.
AND THEN, it’s time to nurse again in about 40 mins 🫣 

So…. We’re kinda just surviving right now 🤞🏻😂 

I know it’ll get better & she’ll get the swing of things.

Just sharing to let you know, if you’re struggling, it’s okay to JUST be surviving right now 😘 
.
.
.
.
.
#breastfeeding #breastfeedingstruggles #breastfeedingmama #supplementmilkbooster #triplefeeding #newmomlife #newbornstruggles #lazyeater #postpartumbody #postpartum #survivalmode #fedisbest",2,3,incorrect,2.5,,
dr.eliza.hannam,78,5,2022-05-27T01:13:13.000Z,"A shout out to the pumping Mammas! 
I know all too well that it’s generally thankless and exhausting work - especially all of the planning and bottle washing. 
Mamma, you are amazing. 

If you’re needing advice about pumping, this is something that a lactation consultant or other breastfeeding specialist can help with. 

#pumpingmama #pumpingmom #exclusiveexpressing #exclusivepumping #nicumama #nicumom #triplefeeding #lactationsupport #ibclc",2,2,correct,2,,
debekenworthy,78,24,2022-03-14T16:02:15.000Z,"What a journey this was for us little lady…

You started off strong. 
Then mama struggled. 
Supply was down. 
Then the triple feeds.
I tried hard to balance nursing and pumping and spending time with you and your sister.
People questioned my decision to nurse. 
I questioned my own ability to keep nursing once I went back to work. 
It was a journey filled with ups and downs and snuggles and so much happiness and love. 
I didn’t know that this time would be one of our last together. You ran this show. And I often had to remind myself that you were in charge. 

I cried when you decided you were finished. It hurt me to my core. But it was a decision you made all on your own and I respect it. 

Thank you, my love, for letting me nourish you for as long as I did. Thank you for all of the extra snuggles and time we got together that was just ours. My body needed so much help to bring you into this world, but I’m so happy I was able to sustain you for so long. Some of my hardest days as a mother were also the very best and watching you grow has been nothing short of amazing. 

And now all I can say is what a journey it was and here’s to new ones💖 
.
.
.
.
.
#mybreastfeedingjourney #weaned #16monthsofbreastfeeding #breastfeedingmomma #marylandmom #thebondbetweenus #triplefeeding #momof2girls #deivfsuccess #deivfmama #ivfover40",3,2,incorrect,2.5,,
tonguetieexperts,77,1,2022-07-01T16:00:21.000Z,"A common myth we hear is that babies need to eat every 2-3 hours. 

Babies do not feed by the clock, they feed on demand. And not every feeding is exactly the same when you're breastfeeding.

Unless baby has health issues, do not wake a sleeping baby to feed them, as long as they are getting 8-12 feedings in 24 hours. 

If you are expecting a baby, a new parent, or a physician and would like to get back to the basics of breastfeeding, join us in episode 9 of the Tongue Tie Experts podcast. 

#enoughmilk #lowmilksupply #pumpingmom #exclusivepumping #supplementing #formulasupplement #formulashortage #Nipplepain #latch #ibclc #PCOS #Breastfeedingafterbreastsurgery #pediatricians #insufficientmilksupply #IGT #powerpumping #Howmuchmilk #galactogogues #lactationcookies #Feedingcues #swaddling #feedondemand #skintoskin #increasemilksupply #moremilk #makingmoremilk #triplefeeding",2,2,correct,2,,
igtandlowmilksupply,77,1,2019-08-05T23:45:04.000Z,"No matter how many parents are dealing with chronic low milk supply, ALL deserve better support. See our bio link for resources and links. ⁠
⁠
⁠
#lowmilksupplyawarenessday #igtandlowmilksupplysupportgroup #igtandlowmilksupply #igt #lowmilksupply #lowsupply #normalizebf #normalizebreastfeeding #worldbreastfeedingweek #wbfw #wbw #chestfeeding #sns #atbreastsupplementation  #breastfeeding #bf #perceivedlowmilksupply #ibclc #clc #bottlefeeding #donormilk #pacedbottlefeeding #lactaid #bottle #triplefeeding #breastfeedingproblems #breastfeeding #supplementalnursingsystem #theMyth",2,2,correct,2,,
aloha.nutrition,77,20,2019-05-19T18:16:04.000Z,"T R I P L E  F E E D I N G

Triple feeding is when you breastfeed, then pump, then bottle feed. It is very exhausting and very time consuming. Usually triple feeding is recommended to help boost moms milk supply or to help with baby’s weight gain.

Perhaps baby isn’t transferring well and is not removing the milk effectively therefore compromising mom’s milk supply. Whatever you pump, you would give to your baby afterwards to help with weight gain.

While triple feeding demands your body to make more milk, it’s also very time consuming. You nurse for 20-40minutes, then pump for 20mins then you have to bottle feed which you can either hand off to someone else, or you spend another 15minutes bottle feeding. Then you have about an hour break before you do it all over again 😅

Well one recommendation I give moms, is to pump WHILE you’re nursing. You put your baby on one side while you pump the other. You can then bottle/cup/or spoon feed your baby the milk you pumped. It’s like killing two birds with one stone.

To do this, I recommend 1️⃣getting a hands free pumping bra like @medela_us Or @simplewisheshandsfree 2️⃣Get the bra and pump situated first. 3️⃣Pull one side of the bra below your breast that you plan on nursing on. 4️⃣Latch your baby and 5️⃣turn the pump on.

Studies have found that double breast stimulation yields more milk, an extra let down, and even a higher fat content!
.
.
🔺Disclaimer- I myself am not triple feeding, I just wanted to show this hack to save you time

Are you a triple feeder? Tag a triple feeding mama you know and help them cut their time in half!
.
Nursing shirt from @motherhoodmaternity
.
.
. 
#triplefeeding #breastfeeding #breastfeedingmama #bottlefeeding #fedisbestwhetherbottleorbreast #pumpingmama #medelapump #motherhoodmaternity #pumpingforthebaby #nursepumpbottle",3,3,correct,3,,
thebreastfeedingpediatrician,76,2,2022-08-18T01:43:10.000Z,"Like 85% of women, I planned to breastfeed my baby. 

By the time I was pregnant with my first baby, I was already a pediatrician. I thought I had a good idea of what breastfeeding would be like. Sure, there may be some challenges but nothing I couldn’t work through, right?

I was wrong. The first 6 weeks of learning to breastfeed turned out to be the most challenging 6 weeks of my life— more difficult than any stretch of medical school or residency. It was full of pain, pumping, crying (both me and baby), leaking, and refusing. 

What would I tell myself if I could go back in time? 

Have your resources and support lined up before you deliver. Anticipate that there are going to be issues and know exactly who to call when they happen! And have multiple resources to call. When I tried to get an appointment with a lactation consultant, the earliest appointment was 5 weeks away 😳

I would also tell myself to set small goals. My initial goal was to breastfeed for one year, but after my daughter was a week old, the thought of doing it for a year was too daunting. My goal changed to one month, and at one month I reassessed and the new goal became 2 months, and so on. It was much easier to have a goal that seemed within reach during those trying first weeks.

If you are in the midst of this struggle right now, know that you are not alone!

#breastfeeding #breastmilk #pediatrics #pediatrician #pumpingmom #triplefeeding #lactation #skintoskin #supportisbest",2,2,correct,2,,
thecooper_triplets,75,0,2018-11-20T13:01:29.000Z,"Massive thank you to @tidy_tot for these amazing bib & tray kits. These will help my nerves for when we start the craziness of weaning!!! 🤪 I can’t wait to use these with the boys. And I know that their grandads OCD will be sorted now haha. Such a brilliant invention!! Head over to their page and check out the product. For all you mums who hate mess, this is your answer. #weaning #messyclub #babyleadweaning #toddler #baby #messyplay #gifted #influencer #triplets #triplefeeding #tripleweaning #tripletmess #messyboys #food #foodphotography #tripletsofinstagram #babiesbabiesbabies #babymess #bibs #highchairs #promo #motherhood #tripletlife #babylife #mummyblog #tripletblog",2,2,correct,2,,
thebethgrossmann,74,12,2023-08-02T17:26:24.000Z,"It’s #worldbreastfeedingweek and let me tell ya, friends, your breastfeeding friends deserve some celebration. 

During pregnancy I was (and still am) team fed is best. I said over and over that whatever was best for me and Otto was what we’d do. No judgment. But no one could’ve prepared me for the mental and emotional journey that I’d go through or the immense guilt that I’d feel when things weren’t magical. 

From a lack of support in the hospital to finding a tongue tie at 2 months old and having to recover from that (both Otto physically and my supply) to finding our groove with triple feeding it has been a rollercoaster. 

Some days I feel invincible and other days I feel like I’m not enough. Support from my amazing husband @matt.the.dingo , dear friends, our pediatrician, and even friends I’ve made on IG has made all the difference. Otto will be nine months in about a week and we’re still going strong and we still do 1 formula bottle a day. 

Finding the right products to make this all more comfortable has also been major. Shoutout to @davinandadley for the BEST bras/tanks, @idaho_jones for the silicone flanges that come in clutch for elastic tissue, and of course, the goat @spectrababyusa 

For my pregnant friends- if you’re planning on breastfeeding, find an IBCLC that you love NOW. Meet with them BEFORE you have a newborn to help you prepare. Don’t count on the hospital having a qualified lactation consultant available. And find peer support. People you can talk to about anything. (I’m happy to be there for you btw. This crap is hard and we need each other)

To the people with breastfeeding friends- check on them. Buy them a coffee and/or some snacks. Love them. 

And lastly, in the words of the great @snoopdogg “I want to thank me for believing in me, I want to thank me for doing all this hard work. I wanna thank me for having no days off. I wanna thank me for never quitting. I wanna thank me for always being a giver and trying to give more than I receive. I wanna thank me for trying to do more right than wrong. I wanna thank me for being me at all times.” ♥️

#triplefeeding #pumpingisbreastfeeding #plussizemama #plussizemom #plussizebreastfeeding",3,3,correct,3,,
milkybusinesslactation,72,1,2023-03-04T08:32:51.000Z,"Is this you? Very few women have pumping sorted. Most are winging it, putting up with pain and poor milk flow. 

Pump Better with our 60 minute online program. $10 off for the next 24 hours only with code ‘COUNTMEIN’

Still have questions? Drop me a DM 🧡👋🏼

#pumpbetter #onlinecourse #ibclc #lactationconsultant #pumpingmum #returntowork #triplefeeding #exclusiveexpressing #pumpingmom #sydneymums #brisbanemums #melbournemums #midwife",2,2,correct,2,,
lonalyfirefly,72,4,2020-03-29T13:19:21.000Z,"Happy 6 months of milkies Finn!
.
Today marks 6 months since we were able to stop supplementing his feeds with formula. Since Finn was a preemie the pediatrician at the hospital put him on a high calorie formula. We would nurse for 20 min and then Tony would bottle feed while I pumped. At 4 days my milk came in and instead of supplementing formula, we supplemented mama’s milk! Coming off the formula so fast was a big deal! The doctor said she rarely saw kids as early as Finn do so well with nursing! It was all too common for them to suddenly forget how to eat. I am absolutely blessed to be able to nurse my baby and after all the hard work to learn together it is finally second nature to us. .
#normalizebreastfeeding #triplefeeding #cookiecrisp  #mamasmilk #feedyourbabyanywhere #feedthebaby #6months4days",2,2,correct,2,,
positivebirthscotland,71,36,2021-04-11T21:22:39.000Z,"Have you heard of or used a 𝙎𝙪𝙥𝙥𝙡𝙚𝙢𝙚𝙣𝙩𝙖𝙡 𝙉𝙪𝙧𝙨𝙞𝙣𝙜 𝙎𝙮𝙨𝙩𝙚𝙢 (𝙎𝙉𝙎) or Lactation Aid? I think it is wonderful and it has helped lots of my clients recently. If you have used it, what was your experience?

#Repost @welcomebabies_lactation ⠀⠀
SNS uses a thin feeding tube, with one end attached to a syringe or dipped into a bottle of expressed breadt milk or formula and the other end is placed into baby’s mouth while they are nursing.⠀
⠀⠀
It allows baby to be supplemented with extra milk without having to use a bottle and can be very helpful in cases of low milk supply, breast refusal and also a great option for adoptive parents. ⠀
⠀
𝗕𝗲𝗻𝗲𝗳𝗶𝘁𝘀: ⠀
⠀
🤱🏼Baby receives ALL their milk at the breast. No need to top up after breastfeeding with a bottle or other device. This also helps maintain that positive connection with baby and the breast.⠀
⠀⠀
🤱🏽Baby will learn to nurse by nursing. The help of the flow of milk with the SNS encourages baby to suck more actively and stay more interested at the breast.⠀
⠀⠀
🤱🏻It can help increase your milk supply through direct sucking at the breast.⠀
⠀⠀
🤱🏾May help decrease baby fussiness at the breast.⠀
⠀ ⠀
If you are struggling with breast/chest feeding and are curious to see if using an SNS would be right for you, please reach out. ⠀⠀
⠀
#lactationaid #supplementalnursingsystem #triplefeeding #breastfeedingsupport #lactationconsultant #lactationsupport #lowmilksupply #lowsupply #supplyanddemand #breastrefusal #pumpingmom #newbornfeeding #adoptiveparents #adoptivemom #breastfeeding #breastfeedingpositions #breastfeedingproblems #breastfeedingmama #breastfeedingmoms #breastfeedingtips #chestfeeding #mamaandbaby #nursingmama #fourthtrimester 
#edinburghmums #newborn #edinburgh #glasgow #dundee",2,2,correct,2,,
pregnancyandpostpartumtv,71,1,2021-02-25T22:28:29.000Z,"So excited to share this collaboration video with Katie 👉 @the.breastfeedingmama 

I get so many questions (and concerns) around low milk supply I asked Katie to join me and share her top 10 strategies to increase milk supply!

We chatted about how to establish good supply in the beginning, how to increase supply fast (overnight), strategies like power pumping, switch feeding, triple feeding, using galactagogues and more! She also covers common pitfalls that cause low milk supply. 

You can find it new on the Pregnancy and Postpartum TV YouTube channel.

A big thank you to Katie @the.breastfeedingmama for so generously sharing all the info! 

Seriously she is amazing so go check out her resources! She does free BF Q&A on her Instagram, has tons of free recourses on her website as well as incredible breast feeding courses. 💞💞💞

Hope you are having a wonderful week!

.
.
.
.
.
.
.
.
.
#breastfeeding #breastfeedingmom #breastfeedingjourney #breastfeedingmama #breastfeedingsupport #thebreastfeedingmama #powerpumping #switchfeeding #triplefeeding #lowmilksupply #lowmilksupplyproblems #breastfeedingisbeautiful #normalizebreastfeeding #breastfeed #pumpingmom #pumpingmoms #pumpingmama #pumpingmilk #postpartum #postnatal #postpartumjourney #postpartumdepression #postpartumbreastfeeding",2,3,incorrect,2.5,,
breastfeedingaversion,71,3,2021-02-03T14:31:52.000Z,"I am honoured and grateful that I am part of this team. This book by @lucy.ruddle.ibclc is so so needed and there are so many unanswered questions from mothers I've supported in the past....so much struggle, so much heartache, so much missing information and so much shame.
.
This.is.the.paradigm.shift we need.
.
#mixedup
#breastfeeding 
#formulafeeding 
#pumping
#expressing
#combinationfeeding 
#nursingaversion 
#triplefeeding
#touchedout
#combifeeding
#supportisbest 
#informedisbest 
#shame
#guilt
#milkmaker",2,2,correct,2,,
thehealthyhabitsmom,70,6,2019-10-21T20:44:35.000Z,"We made it. We survived our first year as parents! It was hard. Sometimes very hard. It was also fun, sweet, and flew by way too fast. We’ve grown closer as a couple and kept a helpless human alive lol. Yay us! I wasn’t sure if we’d make it in the beginning 😉 but boy am I proud of how far all three of us have come. If you’re a new mom or parent, this post is for you. You’ll survive. You can do this. It will get better and easier. This/these baby/babies chose YOU in heaven to be its/their parent. No one else. You are killing it at this parenting gig.
#yougotthismama #yougotthisdad #realmomminwithdani #postpartumanxietyawareness",2,2,correct,2,,
lowmilksupplyfoundation,69,4,2021-11-25T19:51:49.000Z,"It’s been said before, but bears repeating: breastfeeding doesn’t have to be all or nothing! And even with low milk supply, it’s still possible to have a successful breastfeeding experience and take pride in your journey. 

This was the case for Desiree. After learning she was pregnant with her first child, “I was thrilled at the idea of being a breastfeeding mom,” Desiree remembers. “I read what felt like every book and article in existence and prepared myself with every tool known to mom: a pump, nursing pads, nursing pillow, nursing bras, manual pumps, Haakaas, the works. I threw out any formula sample I got, as well as the coupons, because I had no intention of ever using it.”

At her daughter’s first check-up, however, Desiree got the devastating news that she was not making enough to support healthy weight gain in her baby. “I began triple feeding with the help of my husband at every feed. It was thoroughly exhausting, both physically and mentally. I cried at almost every bottle I had to give her and every pump I had to do,” Desiree says.

With the help of a strict pumping regimen and Reglan, Desiree increased her supply to about half of her baby’s intake. More importantly, she found a way to redefine what breastfeeding success looked like for her. “I stopped pumping after feeds and just nursed and supplemented around the clock using the supplemental nursing system (SNS) or following with a bottle. After a long time of doing this, I found peace with my journey and maintained a strong nursing bond with my daughter until she weaned at about 1.5 years old.”

Every lactation journey is different, and every parent who wants to breastfeed deserves the support and encouragement they need to find success, whatever that looks like for them.

If you have a story about success with breastfeeding through low supply, we’d love to hear it in the comments!

#lowmilksupplyfoundation
#chroniclowmilksupply #igt #lowmilksupply #lowsupply #breastfeeding #bf #chestfeeding #ibclc #lactationsupport #bottlefeeding #combofeeding #pacedbottlefeeding #sns #supplementalnursingsystem #atbreastsupplementation #lactaid #bottle #triplefeeding #breastfeedingproblems #breastfeedingsupport",3,3,correct,3,,
bluuwaterr,69,5,2019-11-18T07:44:28.000Z,"i just learned that today is #worldprematurityday 🐣🌱 our sweet Desi Rose 🕊🌈🌹 came barreling into this world 5 weeks early, and although he came out as healthy as you could hope for with a preterm baby, it was a huge struggle. the hardest thing was feeding. we had to feed every two hours at first, and every feeding took about 90 minutes. Kevin would hold a syringe full of previously pumped milk in one hand, and run a tiny tube down my boob and into Desmond's mouth with his other hand. slooooowly we would push all the milk into his mouth. then I would try to breastfeed (and cry because he couldn't do it and I felt like a huge failure). then I would have to go pump for 30-40 minutes, and then I would finally get to sleep for 30 or 40 minutes before waking up to do it all again (they call it #triplefeeding). 🍼🍼🍼 I'm so grateful that, nearly 4 months later, feeding goes a lot smoother. Des is up to the 40th percentile in weight (vs. the bottom 1% at birth), and seems to be doing just fine.  grateful for our little buddy who insisted on getting here extra early🦁🚫🦀✅ ps thanks @bobbizanella for taking the picture,  I wish I had taken more of the whole process.",3,3,correct,3,,
jwp.ibclc,68,11,2022-10-18T07:54:32.000Z,"Is your baby drinking really fast from their bottle? Here are my bottle-feeding tips and favourite bottle feeding technique. 

If you and your baby are experiencing challenges with breastfeeding and your baby is requiring some milk through a bottle, it is essential to use the Paced Bottle Feeding Method.

Unpaced bottles can really compound fussiness at the breast, further leading to breastfeeding stress and possible breast refusal. 

I cover this PBFM in more depth in my Preparing For Breastfeeding PDF guide & workshop. As part of an in-home or virtual consultation, we also cover this PBFM, my recommendation bottles and other tips to integrate bottles into your breastfeeding routine. Link in bio to book online. 

SHARE this with anyone who is bottle feeding their new baby x
*Correct bottle feeding image is from Rachel O’Brien IBCLC. 
**If you have any photos of your baby enjoying a paced bottle please send them to me! Finding decent and correct ones on google is very hard!

#bottlefeeding
#pacedbottlefeeding
#bottlefeed
#EBM
#triplefeeding
#mixedfeeding
#breastandbottle
#babybottle
#breastfeeding 
#mum
#baby
#mom
#mother
#newborn
#preparingforbreastfeeding
#holisticlactation
#ibclc
#ibclcmelbourne
#ibclcnaarm
#breastfeedingmelbourne
#breastfeedingnutrition
#breastmilksupply
#jwpcare",2,2,correct,2,,
instinctualmothering,68,6,2021-07-31T15:44:05.000Z,"Fact: breast milk is superior to any other substance for babies. 

Myth: how long or if you feed your baby breast milk is correlated to how good of a mother you are or moral superiority.

Do not internalize this myth. Everyone makes risk based choices. 

I mean whole, organic vegetables and organic, pasture raised meats are the best choice to feed my kids. That’s a fact. 

Does that mean I don’t feed my kids granola bars and processed chicken nuggets? No. I don’t feel the anywhere near amount of shame that mothers are made to feel about their infant feeding choices. The fact that it’s better is just a fact. 

Own your choices and don’t let others make you feel shame ✨🤍✨",2,2,correct,2,,
mbmilkdocs,66,6,2022-09-15T12:39:24.000Z,"The physiology of making milk tells us that to make milk, milk needs to be removed from the breast often. 

When the baby latches well, that’s usually all that is needed. 

When the baby can’t latch well, then we need something else to remove milk- enter the breast pump.

Commonly what happens is in the first 2 weeks your baby may be not feeding well for a variety of reasons the most common are: 

Preterm
Jaundice
Injury
Low sugars
Other health reasons
Learning
Mom isn’t well
Breast swelling 

And if this happens parents are told to supplement (feed another way) and then pump. Parents often don’t understand the reason behind their need to supplement and pump - and when they can stop, wean and how etc. 

When supplementing and pumping starts, parents also become more concerned about their infants wellbeing and they have less trust and confidence in breastfeeding. 

Your baby’s reason for not feeding well may be past ( jaundice resolved!) yet you may question if it’s really ok to stop offering a bottle after breastfeeds. 

Pumping after every feed becomes exhausting and unsustainable-

Parents need to be INFORMED about why they need supplementation and then offered support and lactation care to get back to breastfeeding if that’s their intention. 

Pumping is an INTERVENTION that is needed sometimes. 

But if your baby can latch comfortably and they are healthy and growing well, and back to birth weight you can use the baby to help remove the milk. 

How? 

✅ increase skin to skin 
✅ switch sides when swallows stop to encourage more let downs and milk transfer
✅ breast compressions 
✅ offer your breast more often for more opportunity to get milk 
✅ offer your breast for comfort and sleep. All that stimulation helps! 
✅ Respond to your baby by feeding your baby on cue and give baby control with bottles by paced bottle feeding. 
✅ limit pumping to when you are using a bottle only, and baby isn’t latching at all. 
✅ stay close to baby (babywear) so you can see their early feeding cues, they stay calmer and they smell your milk. 
✅ supplement at breast 

If you are pumping and want to stop but are worried about losing supply or baby not eating enough-seek help.",2,2,correct,2,,
skilledlactationsolutions,65,11,2022-11-17T00:27:03.000Z,"Sometimes babies will move up or down a bit but still track on their curve. CHOP.edu says a ""downward change in growth across two major growth percentiles"" is Failure to Thrive.

Many times we see families who had falling percentiles for months that were dismissed until their baby was below the 5th percentile. It's SO much less work for you if you identify the cause as soon as possible so you can correct it. 

Weight doesn't stabilize by magic. Early intervention with an IBCLC is key. 

Bonus fact: Excessive sleepiness is a symptom of Failure to Thrive. SO MANY TIMES these babies are praised for being ""great sleepers"" when they're really conserving energy 😔

Share this to help other parents!

#IBCLC #lactationsupport #growthspurt #failuretothrive #triplefeeding #2monthsold #3monthsold #4monthsold #6monthsold #CMPA #FPIES #colic #plagiocephaly #torticollis #pediatricoccupationaltherapy #pediatricphysicaltherapy #pediatricspeechtherapy #cst #pediatricchiropractic #laserdentistry #tonguetie #liptie #breastfeedingsupport #chestfeedingsupport #bodyfeeding #newmom",2,2,correct,2,,
igtandlowmilksupply,65,0,2019-08-05T15:15:10.000Z,"ANY amount of breastfeeding or chestfeeding is an amazing feat. You should be proud ❤️⁠
⁠
#lowmilksupplyawarenessday #igtandlowmilksupplysupportgroup #igtandlowmilksupply #igt #lowmilksupply #lowsupply #normalizebf #normalizebreastfeeding #worldbreastfeedingweek #wbfw  #chestfeeding #sns #atbreastsupplementation  #breastfeeding #ibclc #bottlefeeding #donormilk #mixedfed  #pacedbottlefeeding #lactaid #bottle #triplefeeding #breastfeedingproblems #lowmilkmama #breastfeeding #supplementalnursingsystem #postpartum #breastpump #pumping #milkbank ⁠",2,2,correct,2,,
lowmilksupplyfoundation,64,3,2021-11-13T02:07:01.000Z,"Often, one of the first major clues a parent has that they have low supply is a precipitous drop in baby’s weight. This can be exacerbated by the common advice of “just keep putting baby to breast” if the baby is burning too many calories while trying to nurse. That was exactly the situation in which first-time parent Huda found herself. “When my baby was five days old we had to rush her to the ER because of severe jaundice and she had to be kept under the lights for 24 hours. I was told that it was because I had low milk supply, and she was starving. That made sense to me later, since at night she would only sleep for half an hour at a time and constantly be latched for hours and then cry!”

Unfortunately, Huda received little support or information about how to best sustain her supply while giving her baby the necessary supplementation. Instead, she was advised to eat oatmeal and pump more. “Pump, pump, pump and you’ll make enough milk” was something I heard way too many times,” she says. 

Even as baby gained weight, Huda was too afraid to nurse for long. “[I wish someone told me I] should latch the baby on as much as possible when she was not as hungry and top off with a bottle, and not chase numbers or ounces in the bottle,” Huda reflects. 

Parents like Huda who experience low supply should receive the support they need to understand their options. Even when supplementation is required to support weight gain, it’s still possible to keep baby at breast, maintain (and even increase) supply and meet your breastfeeding goals! 

For practical feeding tips, check out our website (link in bio). @LowSupplyMom is also a great resource!

#lowmilksupplyfoundation
#chroniclowmilksupply #igt #lowmilksupply #lowsupply #breastfeeding #bf #chestfeeding #ibclc #lactationsupport #bottlefeeding #donormilk #combofeeding #pacedbottlefeeding #sns #lactaid #breastpump #pumping #bottle #triplefeeding #breastfeedingproblems #breastfeedingsupport",2,2,correct,2,,
bumble.baby,64,15,2021-10-11T19:14:45.000Z,"With @lowsupplymom 

Kaia CLC shares her personal and professional experience with triple feeding, along with the scientific reasons you may have low supply, when to know, as well as gives great alternatives to find a happy medium for your family!

#lowsupply #lowmilksupply #lowsupplymomma #triplefeeding",2,2,correct,2,,
bornwellnewbornservices,63,1,2023-06-26T01:10:41.000Z,"Clara, I am going to miss our visits but we are so proud of how you have learned to feed, grow and thrive with breastfeeding. Way to go baby girl! 
And we love when siblings join us at lactation school📝
Teach them young☺️

#lactationschool #thelatchrn #breastfeeding #bottlefeeding #triplefeeding #eliminationdiet",2,2,correct,2,,
beyondbabywellness,63,9,2022-05-04T16:57:38.000Z,"UNEXPECTED PUMP LIFE ✨ 

My plan was to exclusively breastfeed at least for the first month of my baby’s life. We had bottles, a warmer, and a bottle rack, but I didn’t have them handy, as I thought they were something to worry about way down the line. I hadn’t even picked out my pump yet, and didn’t feel in a rush to do so.

Well, Benjamin coming almost 6 weeks early thrust me into the world of pumping REAL quick. Being that he was premature, his suck & swallow reflex was not yet fully developed, he had trouble latching, and on top of that, he had a slight tongue tie.

In the hospital, we only had Ben every 3 hours for a mere 30 minutes. It was too stressful to try and get him to latch properly in that short time AND assume he was getting what he needed, so pumping truly was our best option (we had already decided formula would be last resort).

Benny’s first feed was actually the colostrum that I collected during labor to get contractions going again. I had plans to collect my colostrum closer to my due date (lol to that) so I was kind of given that opportunity in a backwards way. 

Pumping did not (and has not) come easy. Despite having lactation consultant guidance in the hospital, I ended up almost having mastitis (but @pumpwithpurpose saved me). I have learned more about pumping in these almost three weeks than I ever thought imaginable. 

I don’t plan on pumping forever, and we are slowly transitioning from bottle to breast, but I am beyond thankful that it’s an option that still gets us to our goal—breast milk.

Moral of this story: don’t be like me and assume you don’t need everything prepped—plan for it ALL. And, most importantly, bottle feeding IS breastfeeding, and you can slap whoever says otherwise ☺️

#exclusivepumping #pumplife #postpartum #fourthtrimester #motherhood #preemie #preemiestrong #parenthood #combofeeding #triplefeeding",2,2,correct,2,,
igtandlowmilksupply,63,1,2019-08-06T07:45:05.000Z,"THANK YOU! We truly appreciate everyone who supports us on this journey: partners/spouses, family, friends, milk donors, and all of the health care providers who contributed to our success ❤️😍❤️⁠
#lowmilksupplyawarenessday #igtandlowmilksupplysupportgroup #igtandlowmilksupply #igt #lowmilksupply #lowsupply #normalizebf #normalizebreastfeeding #worldbreastfeedingweek #wbfw #atbreastsupplementation  #insufficientglandulartissue #breastfeeding #bf #perceivedlowmilksupply #ibclc  #pacedbottlefeeding #lactaid #bottle #triplefeeding #breastfeedingproblems #lowmilkmama #breastfeeding #supplementalnursingsystem #postpartum #milkbank #lactationcookie #lactation #galactagogues #doula ⁠",2,2,correct,2,,
sisu_mum_innovations,62,10,2023-04-06T18:26:59.000Z,"🤓OK! We know, we know!

💪Breast milk protects baby and adapts to strengthen the immune system when needed!

All that being said...

🍼Formula is an incredibly helpful tool and often an act of self love. Formula CAN be used to support mom on her breastfeeding journey and reduce stress! Maybe mom provides 1 or 2 formula bottles a day to get ahead. There are absolutely zero rules on what breastfeeding looks like and no standard of excellence. Exclusively formula feeding? YOU ARE DOING GREAT!!

💕It's important to remember that there's no one-size-fits-all approach and every mom and baby are unique. Let's support each other on this postpartum journey!

💝Share with a friend and follow along!

⬇️Did you learn anything or know of another breast milk fact?! Comment below!
.
.
.
.
.
.
#breastmilk #milksupply #pumpingisbreastfeeding #breastfeeding #breastfed #combofeeding #triplefeeding #newmom #liquidgold #pumpingmom #lactationsupport #infanthealth #infantguthealth #premiepower #nicu #breastpump #exclusivepumping #epmom #colostrum #breastmilkmagic #milkmaker #breastmilkbenefits #mothermilk #expressedmilk #nursingmom #pumpingatwork #pumpingatwork #formulafeeding",2,2,correct,2,,
